timestamp,nowSSID,nowBSSID,nowlevel,SSID,BSSID,level,deviceName,deviceAddress,rssi,BLEdeviceName,BLEdeviceAddress,BLErssi,cellinfo
1736676452391,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676452402,,,,,,,,,,,,,
1736676453394,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676454398,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676455403,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676453404,,,,,,,,,,,,,
1736676454406,,,,,,,,,,,,,
1736676456410,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676457420,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676458428,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676455462,,,,,,,,,,,,,
1736676456431,,,,,,,,,,,,,
1736676457490,,,,,,,,,,,,,
1736676459437,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676460442,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676461446,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676458453,,,,,,,,,,,,,
1736676459521,,,,,,,,,,,,,
1736676460462,,,,,,,,,,,,,
1736676462453,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676463463,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676462971,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,,,,
1736676462950,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,
1736676463317,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-93,
1736676463579,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-88,
1736676464418,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-97,
1736676464440,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-96,
1736676461488,,,,,,,,,,,,,
1736676462477,,,,,,,,,,,,,
1736676463549,,,,,,,,,,,,,
1736676464471,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676465480,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676466490,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676464853,,,,"MERCURY_2.4G_218A",d4:84:09:b4:21:8a,-81,,,,,,,
1736676466028,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-91,,,,
1736676466009,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-91,
1736676464499,,,,,,,,,,,,,
1736676465574,,,,,,,,,,,,,
1736676466518,,,,,,,,,,,,,
1736676467499,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676468507,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676469515,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676468459,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-96,,,,
1736676468443,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-96,
1736676467579,,,,,,,,,,,,,
1736676468530,,,,,,,,,,,,,
1736676469564,,,,,,,,,,,,,
1736676470523,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676471533,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676472542,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676470544,,,,,,,,,,,,,
1736676471599,,,,,,,,,,,,,
1736676472560,,,,,,,,,,,,,
1736676473549,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676474556,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676475562,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676473628,,,,,,,,,,,,,
1736676474577,,,,,,,,,,,,,
1736676475627,,,,,,,,,,,,,
1736676476573,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676477583,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676478592,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676476593,,,,,,,,,,,,,
1736676477668,,,,,,,,,,,,,
1736676478615,,,,,,,,,,,,,
1736676479596,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676480605,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676481614,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676479681,,,,,,,,,,,,,
1736676480632,,,,,,,,,,,,,
1736676481688,,,,,,,,,,,,,
1736676482623,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676483629,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676484635,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676482646,,,,,,,,,,,,,
1736676483716,,,,,,,,,,,,,
1736676484677,,,,,,,,,,,,,
1736676485640,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676486647,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676487671,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676485714,,,,,,,,,,,,,
1736676486693,,,,,,,,,,,,,
1736676487732,,,,,,,,,,,,,
