timestamp,nowSSID,nowBSSID,nowlevel,SSID,BSSID,level,deviceName,deviceAddress,rssi,BLEdeviceName,BLEdeviceAddress,BLErssi,cellinfo
1736666363159,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666364164,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666365171,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666357077,,,,"MERCURY_2.4G_218A",d4:84:09:b4:21:8a,-66,,,,,,,
1736666357077,,,,"lmj",cc:d8:43:71:1d:e6,-91,,,,,,,
1736666363379,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-72,,,,
1736666363375,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-72,
1736666364736,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-73,
1736666365266,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-73,
1736666365467,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-77,
1736666363267,,,,,,,,,,,,,
1736666364179,,,,,,,,,,,,,
1736666365228,,,,,,,,,,,,,
1736666366176,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666367179,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666368187,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666367176,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-70,,,,
1736666368207,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-97,,,,
1736666365805,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-78,
1736666366844,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-78,
1736666367161,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-70,
1736666367601,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-70,
1736666368191,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-97,
1736666368250,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-76,
1736666368522,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-94,
1736666368767,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-70,
1736666366187,,,,,,,,,,,,,
1736666367236,,,,,,,,,,,,,
1736666368209,,,,,,,,,,,,,
1736666369197,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666370208,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666371217,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736666369038,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,,,,
1736666370975,,,,,,,"U-EWH26DE",04:E2:29:0F:26:DF,-96,,,,
1736666369024,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,
1736666369536,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-95,
1736666369865,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,
1736666370055,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-96,
1736666370147,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-77,
1736666370344,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-93,
1736666370415,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-94,
1736666370606,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-93,
1736666370898,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-70,
1736666370958,,,,,,,,,,"U-EWH26DE",04:E2:29:0F:26:DF,-96,
