timestamp,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,linear_x,linear_y,linear_z,rot_x,rot_y,rot_z,light,pressure,proximity
1736664893803,-0.83595,3.6670501,9.46395,,,,,,,,,,,,,,,,,,
1736664893813,-0.77895004,3.7360501,9.057,,,,,,,,,,,,,,,,,,
1736664893823,-0.822,3.7240503,8.746051,,,,,,,,,,,,,,,,,,
1736664893833,-0.81000006,3.86295,8.620951,,,,,,,,,,,,,,,,,,
1736664893844,-0.76905006,4.05495,8.566051,,,,,,,,,,,,,,,,,,
1736664893854,-0.66405004,4.0690503,8.439,,,,,,,,,,,,,,,,,,
1736664893863,-0.50805,4.1119504,8.51595,,,,,,,,,,,,,,,,,,
1736664893874,-0.43395,4.1290503,8.63805,,,,,,,,,,,,,,,,,,
1736664893885,-0.40305,4.04505,8.81295,,,,,,,,,,,,,,,,,,
1736664893894,-0.39795002,3.9090002,9.09,,,,,,,,,,,,,,,,,,
1736664893904,-0.36,3.7890003,9.271951,,,,,,,,,,,,,,,,,,
1736664893914,-0.31005,3.6790502,9.318001,,,,,,,,,,,,,,,,,,
1736664893924,-0.20400001,3.5830503,9.222,,,,,,,,,,,,,,,,,,
1736664893934,-0.14400001,3.5689502,9.12405,,,,,,,,,,,,,,,,,,
1736664893944,-0.13695,3.6000001,9.073951,,,,,,,,,,,,,,,,,,
1736664893954,-0.19005,3.5809503,8.95905,,,,,,,,,,,,,,,,,,
1736664893964,-0.21900001,3.5779502,8.86305,,,,,,,,,,,,,,,,,,
1736664893974,-0.28095,3.6499503,8.950951,,,,,,,,,,,,,,,,,,
1736664893984,-0.37905002,3.7189503,9.186001,,,,,,,,,,,,,,,,,,
1736664893994,-0.41295,3.66195,9.28005,,,,,,,,,,,,,,,,,,
1736664894004,-0.32595003,3.7339501,9.354,,,,,,,,,,,,,,,,,,
1736664894015,-0.15405001,3.7600503,9.259951,,,,,,,,,,,,,,,,,,
1736664894024,-0.16605,3.7510502,9.069,,,,,,,,,,,,,,,,,,
1736664894035,-0.18300001,3.8130002,9.241051,,,,,,,,,,,,,,,,,,
1736664894044,-0.22305001,3.9109502,9.17895,,,,,,,,,,,,,,,,,,
1736664894055,-0.22605,3.9760501,9.066,,,,,,,,,,,,,,,,,,
1736664894065,-0.24000001,3.9439502,9.15495,,,,,,,,,,,,,,,,,,
1736664894074,-0.29505002,3.8940003,9.162001,,,,,,,,,,,,,,,,,,
1736664894084,-0.34800002,3.8029501,9.14805,,,,,,,,,,,,,,,,,,
1736664894096,-0.38895002,3.7860003,9.126,,,,,,,,,,,,,,,,,,
1736664894105,-0.39105,3.7770002,9.02805,,,,,,,,,,,,,,,,,,
1736664894115,-0.36195,3.75795,8.96595,,,,,,,,,,,,,,,,,,
1736664894125,-0.38205,3.7339501,8.865001,,,,,,,,,,,,,,,,,,
1736664894136,-0.384,3.7819502,8.772,,,,,,,,,,,,,,,,,,
1736664894145,-0.38205,3.89895,8.722051,,,,,,,,,,,,,,,,,,
1736664894155,-0.42705002,3.8749502,8.75805,,,,,,,,,,,,,,,,,,
1736664894165,-0.48705003,3.8850002,8.88195,,,,,,,,,,,,,,,,,,
1736664894175,-0.48000002,3.9640503,9.02595,,,,,,,,,,,,,,,,,,
1736664894185,-0.46995002,3.86295,9.0709505,,,,,,,,,,,,,,,,,,
1736664894196,-0.49605003,3.86805,9.0709505,,,,,,,,,,,,,,,,,,
1736664894205,-0.46800002,4.0069504,9.073951,,,,,,,,,,,,,,,,,,
1736664894216,-0.441,4.08795,9.00405,,,,,,,,,,,,,,,,,,
1736664894225,-0.48705003,4.071,8.96805,,,,,,,,,,,,,,,,,,
1736664894235,-0.48900002,4.0279503,8.96595,,,,,,,,,,,,,,,,,,
1736664894245,-0.46800002,3.96795,9.02595,,,,,,,,,,,,,,,,,,
1736664894255,-0.44400004,3.834,9.02805,,,,,,,,,,,,,,,,,,
1736664894265,-0.40995002,3.7429502,9.019051,,,,,,,,,,,,,,,,,,
1736664894275,-0.39105,3.7549503,9.009001,,,,,,,,,,,,,,,,,,
1736664894285,-0.393,3.7909503,9.10005,,,,,,,,,,,,,,,,,,
1736664894296,-0.37005,3.8440502,9.19305,,,,,,,,,,,,,,,,,,
1736664894305,-0.31905,3.8560503,9.19995,,,,,,,,,,,,,,,,,,
1736664894316,-0.252,3.89895,9.11205,,,,,,,,,,,,,,,,,,
1736664894326,-0.28305,3.93495,8.99895,,,,,,,,,,,,,,,,,,
1736664894336,-0.35505003,3.9180002,8.892,,,,,,,,,,,,,,,,,,
1736664894347,-0.39795002,3.86505,8.88,,,,,,,,,,,,,,,,,,
1736664894356,-0.42705002,3.8730001,8.974951,,,,,,,,,,,,,,,,,,
1736664894366,-0.39600003,3.8610003,9.0400505,,,,,,,,,,,,,,,,,,
1736664894377,-0.31695002,3.8250003,9.064051,,,,,,,,,,,,,,,,,,
1736664894387,-0.23505001,3.8419502,9.153001,,,,,,,,,,,,,,,,,,
1736664894396,-0.21900001,3.9229503,9.15495,,,,,,,,,,,,,,,,,,
1736664894406,-0.26700002,3.9780002,9.057,,,,,,,,,,,,,,,,,,
1736664894417,-0.38895002,4.0350003,8.913,,,,,,,,,,,,,,,,,,
1736664894426,-0.48705003,4.13595,8.868,,,,,,,,,,,,,,,,,,
1736664894437,-0.53205,4.1929502,8.844001,,,,,,,,,,,,,,,,,,
1736664894446,-0.52005005,4.1860504,8.841001,,,,,,,,,,,,,,,,,,
1736664894457,-0.45795003,4.12395,8.937,,,,,,,,,,,,,,,,,,
1736664894466,-0.34800002,4.0470004,9.066,,,,,,,,,,,,,,,,,,
1736664894477,-0.27405003,3.9439502,9.13605,,,,,,,,,,,,,,,,,,
1736664894486,-0.21900001,3.8940003,9.17205,,,,,,,,,,,,,,,,,,
1736664894496,-0.192,3.9250503,9.150001,,,,,,,,,,,,,,,,,,
1736664894506,-0.17805001,3.9850502,9.061951,,,,,,,,,,,,,,,,,,
1736664894516,-0.19005,4.05,8.911051,,,,,,,,,,,,,,,,,,
1736664894527,-0.22800002,4.11,8.70495,,,,,,,,,,,,,,,,,,
1736664894536,-0.28305,4.122,8.583,,,,,,,,,,,,,,,,,,
1736664894548,-0.29505002,4.0789504,8.547,,,,,,,,,,,,,,,,,,
1736664894557,-0.31905,4.01895,8.611951,,,,,,,,,,,,,,,,,,
1736664894567,-0.32895002,3.9520502,8.722051,,,,,,,,,,,,,,,,,,
1736664894577,-0.32595003,3.89895,8.944051,,,,,,,,,,,,,,,,,,
1736664894587,-0.31395,3.9420002,9.13605,,,,,,,,,,,,,,,,,,
1736664894597,-0.26700002,4.03305,9.16695,,,,,,,,,,,,,,,,,,
1736664894608,-0.231,4.1620502,8.98005,,,,,,,,,,,,,,,,,,
1736664894617,-0.22095,4.3230004,8.68305,,,,,,,,,,,,,,,,,,
1736664894628,-0.32595003,4.36305,8.43,,,,,,,,,,,,,,,,,,
1736664894637,-0.42195,4.335,8.358001,,,,,,,,,,,,,,,,,,
1736664894647,-0.50805,4.37505,8.370001,,,,,,,,,,,,,,,,,,
1736664894658,-0.57495004,4.4040003,8.38395,,,,,,,,,,,,,,,,,,
1736664894668,-0.573,4.4230504,8.458051,,,,,,,,,,,,,,,,,,
1736664894677,-0.58005005,4.46595,8.54205,,,,,,,,,,,,,,,,,,
1736664894688,-0.54405004,4.50705,8.63805,,,,,,,,,,,,,,,,,,
1736664894697,-0.59505004,4.52895,8.607,,,,,,,,,,,,,,,,,,
1736664894708,-0.61605,4.4929504,8.54895,,,,,,,,,,,,,,,,,,
1736664894717,-0.513,4.4160004,8.427,,,,,,,,,,,,,,,,,,
1736664894727,-0.56805,4.452,8.18295,,,,,,,,,,,,,,,,,,
1736664894738,-0.59205,4.5930004,8.24505,,,,,,,,,,,,,,,,,,
1736664894748,-0.57795,4.70295,8.49195,,,,,,,,,,,,,,,,,,
1736664894757,-0.62595004,4.73505,8.752951,,,,,,,,,,,,,,,,,,
1736664894768,-0.73605,4.65105,9.033,,,,,,,,,,,,,,,,,,
1736664894778,-0.85605,4.5,9.229051,,,,,,,,,,,,,,,,,,
1736664894788,-0.93900007,4.4929504,9.283951,,,,,,,,,,,,,,,,,,
1736664894798,-0.94905007,4.54995,9.20505,,,,,,,,,,,,,,,,,,
1736664894809,-0.95100003,4.5529504,9.033,,,,,,,,,,,,,,,,,,
1736664894818,-0.96795005,4.60995,8.808001,,,,,,,,,,,,,,,,,,
1736664894829,-0.98700005,4.63905,8.49195,,,,,,,,,,,,,,,,,,
1736664894838,-1.0330501,4.6000504,8.20395,,,,,,,,,,,,,,,,,,
1736664894848,-1.1050501,4.43295,7.9909506,,,,,,,,,,,,,,,,,,
1736664894858,-1.095,4.50495,7.8450003,,,,,,,,,,,,,,,,,,
1736664894868,-0.99405,4.6579504,7.6969504,,,,,,,,,,,,,,,,,,
1736664894878,-1.0330501,4.56495,7.7449503,,,,,,,,,,,,,,,,,,
1736664894888,-1.12395,4.44495,7.977,,,,,,,,,,,,,,,,,,
1736664894899,-1.09695,4.44495,8.08695,,,,,,,,,,,,,,,,,,
1736664894908,-1.0639501,4.6320004,7.9600506,,,,,,,,,,,,,,,,,,
1736664894919,-1.04205,4.7779503,7.7710505,,,,,,,,,,,,,,,,,,
1736664894928,-1.0380001,4.9090505,7.7059503,,,,,,,,,,,,,,,,,,
1736664894939,-1.2360001,5.10795,7.8,,,,,,,,,,,,,,,,,,
1736664894948,-1.3920001,5.2660503,8.00595,,,,,,,,,,,,,,,,,,
1736664894958,-1.4569501,5.3710504,8.238,,,,,,,,,,,,,,,,,,
1736664893827,,,,-22.5,-21.300001,-21.300001,,,,,,,,,,,,,,,
1736664893854,,,,-8.34375,-20.456251,-18.84375,,,,,,,,,,,,,,,
1736664893874,,,,-8.212501,-20.456251,-19.612501,,,,,,,,,,,,,,,
1736664893894,,,,-8.64375,-20.643751,-20.400002,,,,,,,,,,,,,,,
1736664893914,,,,-8.75625,-21.0,-21.6,,,,,,,,,,,,,,,
1736664893935,,,,-8.75625,-21.35625,-22.0125,,,,,,,,,,,,,,,
1736664893955,,,,-8.75625,-21.6,-22.44375,,,,,,,,,,,,,,,
1736664893975,,,,-8.400001,-21.900002,-22.3125,,,,,,,,,,,,,,,
1736664893995,,,,-8.64375,-21.7875,-22.143751,,,,,,,,,,,,,,,
1736664894015,,,,-8.700001,-21.65625,-21.900002,,,,,,,,,,,,,,,
1736664894036,,,,-8.75625,-21.487501,-21.300001,,,,,,,,,,,,,,,
1736664894056,,,,-8.8125,-21.65625,-21.4125,,,,,,,,,,,,,,,
1736664894075,,,,-8.512501,-21.6,-21.112501,,,,,,,,,,,,,,,
1736664894095,,,,-8.64375,-21.6,-20.8125,,,,,,,,,,,,,,,
1736664894115,,,,-8.64375,-21.65625,-20.8125,,,,,,,,,,,,,,,
1736664894135,,,,-8.75625,-21.35625,-20.94375,,,,,,,,,,,,,,,
1736664894155,,,,-8.8125,-21.487501,-21.056252,,,,,,,,,,,,,,,
1736664894175,,,,-8.64375,-21.487501,-21.54375,,,,,,,,,,,,,,,
1736664894195,,,,-8.512501,-21.65625,-21.900002,,,,,,,,,,,,,,,
1736664894215,,,,-8.45625,-21.54375,-21.65625,,,,,,,,,,,,,,,
1736664894236,,,,-8.34375,-21.54375,-21.54375,,,,,,,,,,,,,,,
1736664894256,,,,-8.45625,-21.54375,-21.35625,,,,,,,,,,,,,,,
1736664894275,,,,-8.8125,-21.487501,-21.056252,,,,,,,,,,,,,,,
1736664894295,,,,-8.8125,-21.35625,-21.54375,,,,,,,,,,,,,,,
1736664894315,,,,-9.1125,-21.54375,-21.712502,,,,,,,,,,,,,,,
1736664894335,,,,-9.3,-21.300001,-21.900002,,,,,,,,,,,,,,,
1736664894355,,,,-9.3,-21.0,-21.900002,,,,,,,,,,,,,,,
1736664894376,,,,-9.243751,-21.1875,-21.6,,,,,,,,,,,,,,,
1736664894395,,,,-9.4125,-21.300001,-21.35625,,,,,,,,,,,,,,,
1736664894415,,,,-9.3,-21.35625,-21.6,,,,,,,,,,,,,,,
1736664894435,,,,-9.0,-21.65625,-21.712502,,,,,,,,,,,,,,,
1736664894455,,,,-9.4125,-21.7875,-21.84375,,,,,,,,,,,,,,,
1736664894475,,,,-9.243751,-21.54375,-22.0125,,,,,,,,,,,,,,,
1736664894496,,,,-8.94375,-21.65625,-21.956251,,,,,,,,,,,,,,,
1736664894515,,,,-9.4125,-21.6,-21.900002,,,,,,,,,,,,,,,
1736664894535,,,,-9.356251,-21.243752,-21.900002,,,,,,,,,,,,,,,
1736664894556,,,,-9.4125,-21.35625,-21.956251,,,,,,,,,,,,,,,
1736664894575,,,,-9.65625,-21.487501,-22.0125,,,,,,,,,,,,,,,
1736664894595,,,,-9.356251,-21.300001,-22.2,,,,,,,,,,,,,,,
1736664894616,,,,-9.3,-21.65625,-22.44375,,,,,,,,,,,,,,,
1736664894635,,,,-9.356251,-21.487501,-22.25625,,,,,,,,,,,,,,,
1736664894656,,,,-9.65625,-21.35625,-22.143751,,,,,,,,,,,,,,,
1736664894676,,,,-9.95625,-21.7875,-22.2,,,,,,,,,,,,,,,
1736664894695,,,,-9.84375,-21.84375,-22.0125,,,,,,,,,,,,,,,
1736664894715,,,,-9.900001,-21.956251,-22.5,,,,,,,,,,,,,,,
1736664894736,,,,-9.900001,-21.6,-22.5,,,,,,,,,,,,,,,
1736664894755,,,,-9.900001,-21.487501,-22.5,,,,,,,,,,,,,,,
1736664894775,,,,-9.95625,-21.056252,-22.44375,,,,,,,,,,,,,,,
1736664894796,,,,-9.900001,-21.056252,-22.2,,,,,,,,,,,,,,,
1736664894815,,,,-9.900001,-21.7875,-22.143751,,,,,,,,,,,,,,,
1736664894835,,,,-9.84375,-21.900002,-22.143751,,,,,,,,,,,,,,,
1736664894855,,,,-10.44375,-22.2,-22.44375,,,,,,,,,,,,,,,
1736664894875,,,,-10.5,-22.087502,-22.5,,,,,,,,,,,,,,,
1736664894895,,,,-10.6125,-21.956251,-22.800001,,,,,,,,,,,,,,,
1736664894915,,,,-11.043751,-21.956251,-22.5,,,,,,,,,,,,,,,
1736664894936,,,,-11.212501,-21.84375,-22.2,,,,,,,,,,,,,,,
1736664894956,,,,-11.75625,-22.2,-21.956251,,,,,,,,,,,,,,,
1736664893823,,,,,,,-0.764242,3.88112,8.973482,,,,,,,,,,,,
1736664893834,,,,,,,-0.765513,3.906592,8.962308,,,,,,,,,,,,
1736664893844,,,,,,,-0.751957,3.900691,8.966025,,,,,,,,,,,,
1736664893853,,,,,,,-0.714172,3.919572,8.96088,,,,,,,,,,,,
1736664893863,,,,,,,-0.68527,3.922955,8.961658,,,,,,,,,,,,
1736664893874,,,,,,,-0.63097,3.926312,8.964174,,,,,,,,,,,,
1736664893884,,,,,,,-0.594817,3.933152,8.963647,,,,,,,,,,,,
1736664893895,,,,,,,-0.559431,3.910461,8.975843,,,,,,,,,,,,
1736664893905,,,,,,,-0.534702,3.915578,8.975119,,,,,,,,,,,,
1736664893914,,,,,,,-0.507212,3.887315,8.98899,,,,,,,,,,,,
1736664893924,,,,,,,-0.489054,3.878416,8.99384,,,,,,,,,,,,
1736664893935,,,,,,,-0.458459,3.864694,9.001357,,,,,,,,,,,,
1736664893944,,,,,,,-0.438267,3.85245,9.007609,,,,,,,,,,,,
1736664893954,,,,,,,-0.419036,3.847548,9.010619,,,,,,,,,,,,
1736664893965,,,,,,,-0.395247,3.837293,9.016062,,,,,,,,,,,,
1736664893974,,,,,,,-0.383758,3.829155,9.020018,,,,,,,,,,,,
1736664893985,,,,,,,-0.365371,3.813401,9.027451,,,,,,,,,,,,
1736664893994,,,,,,,-0.360081,3.789262,9.037823,,,,,,,,,,,,
1736664894005,,,,,,,-0.348349,3.773033,9.045068,,,,,,,,,,,,
1736664894014,,,,,,,-0.313257,3.759333,9.052053,,,,,,,,,,,,
1736664894024,,,,,,,-0.293941,3.742087,9.059845,,,,,,,,,,,,
1736664894034,,,,,,,-0.268246,3.736424,9.062981,,,,,,,,,,,,
1736664894044,,,,,,,-0.244914,3.735519,9.064013,,,,,,,,,,,,
1736664894055,,,,,,,-0.232808,3.755555,9.056046,,,,,,,,,,,,
1736664894064,,,,,,,-0.229764,3.770213,9.050034,,,,,,,,,,,,
1736664894075,,,,,,,-0.237953,3.786934,9.042838,,,,,,,,,,,,
1736664894084,,,,,,,-0.243675,3.808411,9.033664,,,,,,,,,,,,
1736664894095,,,,,,,-0.260881,3.817551,9.029325,,,,,,,,,,,,
1736664894105,,,,,,,-0.268463,3.82507,9.025918,,,,,,,,,,,,
1736664894116,,,,,,,-0.272932,3.831629,9.022999,,,,,,,,,,,,
1736664894125,,,,,,,-0.275014,3.834208,9.02184,,,,,,,,,,,,
1736664894135,,,,,,,-0.274988,3.842099,9.018484,,,,,,,,,,,,
1736664894145,,,,,,,-0.273793,3.840045,9.019396,,,,,,,,,,,,
1736664894156,,,,,,,-0.277674,3.849584,9.01521,,,,,,,,,,,,
1736664894166,,,,,,,-0.279418,3.859959,9.010716,,,,,,,,,,,,
1736664894175,,,,,,,-0.289921,3.86489,9.008271,,,,,,,,,,,,
1736664894185,,,,,,,-0.302756,3.87039,9.005488,,,,,,,,,,,,
1736664894196,,,,,,,-0.316783,3.871579,9.004496,,,,,,,,,,,,
1736664894205,,,,,,,-0.329528,3.876212,9.002045,,,,,,,,,,,,
1736664894215,,,,,,,-0.340244,3.901392,8.990764,,,,,,,,,,,,
1736664894225,,,,,,,-0.353099,3.916937,8.983504,,,,,,,,,,,,
1736664894235,,,,,,,-0.366429,3.934728,8.975194,,,,,,,,,,,,
1736664894245,,,,,,,-0.376314,3.951879,8.967247,,,,,,,,,,,,
1736664894255,,,,,,,-0.380294,3.946439,8.969474,,,,,,,,,,,,
1736664894266,,,,,,,-0.384126,3.949134,8.968122,,,,,,,,,,,,
1736664894275,,,,,,,-0.380858,3.934926,8.974504,,,,,,,,,,,,
1736664894285,,,,,,,-0.379911,3.919376,8.981346,,,,,,,,,,,,
1736664894295,,,,,,,-0.374632,3.907279,8.986837,,,,,,,,,,,,
1736664894305,,,,,,,-0.37076,3.896917,8.991497,,,,,,,,,,,,
1736664894317,,,,,,,-0.355269,3.89774,8.991764,,,,,,,,,,,,
1736664894326,,,,,,,-0.348923,3.895544,8.992966,,,,,,,,,,,,
1736664894337,,,,,,,-0.349977,3.909911,8.986691,,,,,,,,,,,,
1736664894346,,,,,,,-0.347736,3.921641,8.981667,,,,,,,,,,,,
1736664894357,,,,,,,-0.359456,3.927963,8.978443,,,,,,,,,,,,
1736664894366,,,,,,,-0.36583,3.935073,8.975072,,,,,,,,,,,,
1736664894376,,,,,,,-0.361494,3.931591,8.97677,,,,,,,,,,,,
1736664894386,,,,,,,-0.36342,3.930543,8.977152,,,,,,,,,,,,
1736664894396,,,,,,,-0.348987,3.930936,8.977551,,,,,,,,,,,,
1736664894407,,,,,,,-0.336211,3.926634,8.979921,,,,,,,,,,,,
1736664894416,,,,,,,-0.338149,3.944759,8.971903,,,,,,,,,,,,
1736664894426,,,,,,,-0.330632,3.952639,8.968712,,,,,,,,,,,,
1736664894436,,,,,,,-0.346974,3.981127,8.955487,,,,,,,,,,,,
1736664894446,,,,,,,-0.357766,4.001639,8.945915,,,,,,,,,,,,
1736664894457,,,,,,,-0.364893,4.016002,8.939192,,,,,,,,,,,,
1736664894466,,,,,,,-0.375943,4.035554,8.929924,,,,,,,,,,,,
1736664894477,,,,,,,-0.363861,4.027288,8.934155,,,,,,,,,,,,
1736664894486,,,,,,,-0.358458,4.030124,8.933094,,,,,,,,,,,,
1736664894497,,,,,,,-0.339568,4.023531,8.936805,,,,,,,,,,,,
1736664894506,,,,,,,-0.324518,4.016525,8.940515,,,,,,,,,,,,
1736664894516,,,,,,,-0.307974,4.030566,8.934779,,,,,,,,,,,,
1736664894527,,,,,,,-0.291436,4.034559,8.933531,,,,,,,,,,,,
1736664894536,,,,,,,-0.286988,4.06292,8.920815,,,,,,,,,,,,
1736664894548,,,,,,,-0.279552,4.081871,8.912395,,,,,,,,,,,,
1736664894557,,,,,,,-0.283025,4.093742,8.906841,,,,,,,,,,,,
1736664894567,,,,,,,-0.286607,4.109404,8.89951,,,,,,,,,,,,
1736664894578,,,,,,,-0.292694,4.09667,8.905181,,,,,,,,,,,,
1736664894587,,,,,,,-0.297316,4.096021,8.905327,,,,,,,,,,,,
