timestamp,nowSSID,nowBSSID,nowlevel,SSID,BSSID,level,deviceName,deviceAddress,rssi,BLEdeviceName,BLEdeviceAddress,BLErssi,cellinfo
1736664893914,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664894916,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664893952,,,,,,,,,,,,,
1736664894948,,,,,,,,,,,,,
1736664895921,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664896926,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664897941,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664895995,,,,,,,,,,,,,
1736664896957,,,,,,,,,,,,,
1736664898945,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664899951,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664900955,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664897999,,,,,,,,,,,,,
1736664898975,,,,,,,,,,,,,
1736664900032,,,,,,,,,,,,,
1736664901968,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664902976,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664903987,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664900994,,,,,,,,,,,,,
1736664902035,,,,,,,,,,,,,
1736664903024,,,,,,,,,,,,,
1736664904989,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664905996,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664904922,,,,"801",a0:44:5c:d6:8c:4c,-91,,,,,,,
1736664904063,,,,,,,,,,,,,
1736664905050,,,,,,,,,,,,,
1736664906095,,,,,,,,,,,,,
1736664907000,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664908005,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664909015,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664908128,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-93,,,,
1736664907057,,,,,,,,,,,,,
1736664908109,,,,,,,,,,,,,
1736664909076,,,,,,,,,,,,,
1736664910018,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664911021,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664912023,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736664910699,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-93,,,,
1736664912048,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-96,,,,
1736664910133,,,,,,,,,,,,,
