timestamp,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,linear_x,linear_y,linear_z,rot_x,rot_y,rot_z,light,pressure,proximity
1736664990604,4.9110003,1.4470501,7.8910503,,,,,,,,,,,,,,,,,,
1736664990615,4.7800503,1.5310501,8.809951,,,,,,,,,,,,,,,,,,
1736664990624,4.464,1.55295,9.71805,,,,,,,,,,,,,,,,,,
1736664990634,4.30095,1.5600001,10.311001,,,,,,,,,,,,,,,,,,
1736664990644,4.3560004,1.6290001,10.410001,,,,,,,,,,,,,,,,,,
1736664990654,4.3699503,1.61205,9.77295,,,,,,,,,,,,,,,,,,
1736664990664,4.08495,1.38495,9.19095,,,,,,,,,,,,,,,,,,
1736664990675,3.58995,1.0020001,9.24405,,,,,,,,,,,,,,,,,,
1736664990685,3.22305,0.62595004,10.10595,,,,,,,,,,,,,,,,,,
1736664990695,2.9839501,0.36,11.04195,,,,,,,,,,,,,,,,,,
1736664990705,2.8519502,0.12105001,12.0070505,,,,,,,,,,,,,,,,,,
1736664990714,2.697,-0.075,12.75405,,,,,,,,,,,,,,,,,,
1736664990724,2.49795,-0.264,13.161,,,,,,,,,,,,,,,,,,
1736664990734,2.2080002,-0.41700003,13.491,,,,,,,,,,,,,,,,,,
1736664990744,1.8370501,-0.56100005,13.663051,,,,,,,,,,,,,,,,,,
1736664990754,1.69305,-0.62505,13.627951,,,,,,,,,,,,,,,,,,
1736664990764,1.7820001,-0.56805,13.48095,,,,,,,,,,,,,,,,,,
1736664990775,1.96395,-0.51000005,13.222951,,,,,,,,,,,,,,,,,,
1736664990785,2.1079502,-0.51495004,12.79695,,,,,,,,,,,,,,,,,,
1736664990796,2.1769502,-0.60795003,12.277051,,,,,,,,,,,,,,,,,,
1736664990805,2.055,-0.74505,11.779051,,,,,,,,,,,,,,,,,,
1736664990815,1.83,-0.795,11.311951,,,,,,,,,,,,,,,,,,
1736664990825,1.6360501,-0.76395005,11.02995,,,,,,,,,,,,,,,,,,
1736664990835,1.4490001,-0.59895,10.786051,,,,,,,,,,,,,,,,,,
1736664990845,1.248,-0.41205,10.453051,,,,,,,,,,,,,,,,,,
1736664990855,1.06095,-0.19395001,10.017,,,,,,,,,,,,,,,,,,
1736664990865,0.91305006,0.025050001,9.568951,,,,,,,,,,,,,,,,,,
1736664990875,0.82395005,0.18105,9.16905,,,,,,,,,,,,,,,,,,
1736664990886,0.855,0.29805002,8.773951,,,,,,,,,,,,,,,,,,
1736664990895,1.0330501,0.41505003,8.442,,,,,,,,,,,,,,,,,,
1736664990905,1.3099501,0.59505004,8.118,,,,,,,,,,,,,,,,,,
1736664990916,1.58595,0.80595005,7.90005,,,,,,,,,,,,,,,,,,
1736664990926,1.9020001,0.99000007,7.8529506,,,,,,,,,,,,,,,,,,
1736664990935,2.148,1.1020501,7.9600506,,,,,,,,,,,,,,,,,,
1736664990946,2.29695,1.0999501,8.14005,,,,,,,,,,,,,,,,,,
1736664990956,2.39505,1.04505,8.470051,,,,,,,,,,,,,,,,,,
1736664990965,2.49105,0.96105003,8.899051,,,,,,,,,,,,,,,,,,
1736664990975,2.46,0.91095006,9.315001,,,,,,,,,,,,,,,,,,
