timestamp,nowSSID,nowBSSID,nowlevel,SSID,BSSID,level,deviceName,deviceAddress,rssi,BLEdeviceName,BLEdeviceAddress,BLErssi,cellinfo
1736676516830,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-83,,,,,,,,,,
1736676517834,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-83,,,,,,,,,,
1736676518151,,,,"MERCURY_2.4G_218A",d4:84:09:b4:21:8a,-80,,,,,,,
1736676518151,,,,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-91,,,,,,,
1736676517101,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-71,,,,
1736676517093,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-71,
1736676516848,,,,,,,,,,,,,
1736676517854,,,,,,,,,,,,,
1736676518841,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-83,,,,,,,,,,
1736676519848,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-84,,,,,,,,,,
1736676520855,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-84,,,,,,,,,,
1736676520915,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-78,,,,
1736676520280,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-77,
1736676520902,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-78,
1736676521114,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-74,
1736676518860,,,,,,,,,,,,,
1736676519862,,,,,,,,,,,,,
1736676520878,,,,,,,,,,,,,
1736676521871,"TP-LINK_26B0",f4:84:8d:7b:26:b0,-84,,,,,,,,,,
1736676522972,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676523980,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736676521639,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-88,
1736676521744,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-76,
1736676521967,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-80,
1736676524174,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-64,
1736676521943,,,,,,,,,,,,,
1736676522984,,,,,,,,,,,,,
1736676524051,,,,,,,,,,,,,
