timestamp,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,linear_x,linear_y,linear_z,rot_x,rot_y,rot_z,light,pressure,proximity
1736674525564,0.72105,1.5670501,9.411,,,,,,,,,,,,,,,,,,
1736674525574,0.96795005,1.6099501,9.19305,,,,,,,,,,,,,,,,,,
1736674525584,1.07295,1.6150501,9.0400505,,,,,,,,,,,,,,,,,,
1736674525594,0.99405,1.5310501,8.974951,,,,,,,,,,,,,,,,,,
1736674525604,0.85800004,1.50495,8.956051,,,,,,,,,,,,,,,,,,
1736674525614,0.855,1.488,9.021001,,,,,,,,,,,,,,,,,,
1736674525624,0.96300006,1.4860501,9.102,,,,,,,,,,,,,,,,,,
1736674525634,1.1209501,1.50495,9.2029505,,,,,,,,,,,,,,,,,,
1736674525644,1.2070501,1.4950501,9.294001,,,,,,,,,,,,,,,,,,
1736674525655,1.1910001,1.43805,9.366,,,,,,,,,,,,,,,,,,
1736674525665,1.107,1.3590001,9.430051,,,,,,,,,,,,,,,,,,
1736674525675,1.0639501,1.3369501,9.47805,,,,,,,,,,,,,,,,,,
1736674525686,1.08,1.3080001,9.564,,,,,,,,,,,,,,,,,,
1736674525696,1.11195,1.27995,9.658051,,,,,,,,,,,,,,,,,,
1736674525705,1.143,1.28205,9.70995,,,,,,,,,,,,,,,,,,
1736674525715,1.0879501,1.24605,9.724951,,,,,,,,,,,,,,,,,,
1736674525725,1.02495,1.2600001,9.682051,,,,,,,,,,,,,,,,,,
1736674525735,0.96105003,1.27005,9.58605,,,,,,,,,,,,,,,,,,
1736674525746,0.88905007,1.31805,9.483001,,,,,,,,,,,,,,,,,,
1736674525756,0.882,1.3630501,9.40905,,,,,,,,,,,,,,,,,,
1736674525766,0.94605005,1.404,9.34395,,,,,,,,,,,,,,,,,,
1736674525776,0.9889501,1.4470501,9.315001,,,,,,,,,,,,,,,,,,
1736674525785,0.98205006,1.45395,9.282001,,,,,,,,,,,,,,,,,,
1736674525795,0.98700005,1.43295,9.16695,,,,,,,,,,,,,,,,,,
1736674525805,0.9580501,1.404,9.019051,,,,,,,,,,,,,,,,,,
1736674525815,0.92205006,1.41795,8.89605,,,,,,,,,,,,,,,,,,
1736674525825,0.94200003,1.47405,8.928,,,,,,,,,,,,,,,,,,
1736674525835,0.99195004,1.5120001,9.042001,,,,,,,,,,,,,,,,,,
1736674525845,0.98505,1.521,9.14295,,,,,,,,,,,,,,,,,,
1736674525855,0.90300006,1.4980501,9.24405,,,,,,,,,,,,,,,,,,
1736674525866,0.82695,1.4809501,9.32505,,,,,,,,,,,,,,,,,,
1736674525876,0.822,1.4640001,9.346951,,,,,,,,,,,,,,,,,,
1736674525886,0.84300005,1.4070001,9.33195,,,,,,,,,,,,,,,,,,
1736674525897,0.86295,1.3609501,9.26805,,,,,,,,,,,,,,,,,,
1736674525906,0.94395006,1.34895,9.25605,,,,,,,,,,,,,,,,,,
1736674525916,1.0540501,1.3729501,9.27705,,,,,,,,,,,,,,,,,,
1736674525926,1.08,1.3369501,9.259951,,,,,,,,,,,,,,,,,,
1736674525936,1.0710001,1.3110001,9.22395,,,,,,,,,,,,,,,,,,
1736674525946,1.07805,1.31295,9.196051,,,,,,,,,,,,,,,,,,
1736674525956,1.056,1.2889501,9.121051,,,,,,,,,,,,,,,,,,
1736674525966,1.02795,1.31805,9.076051,,,,,,,,,,,,,,,,,,
1736674525976,1.00905,1.3060501,9.177,,,,,,,,,,,,,,,,,,
1736674525986,1.03695,1.2600001,9.34395,,,,,,,,,,,,,,,,,,
1736674525996,1.04205,1.19595,9.495001,,,,,,,,,,,,,,,,,,
1736674526006,1.06095,1.1410501,9.562051,,,,,,,,,,,,,,,,,,
1736674526016,1.1329501,1.1380501,9.603001,,,,,,,,,,,,,,,,,,
1736674526026,1.19505,1.14795,9.538051,,,,,,,,,,,,,,,,,,
1736674526036,1.167,1.18605,9.415951,,,,,,,,,,,,,,,,,,
1736674526046,1.0900501,1.251,9.28905,,,,,,,,,,,,,,,,,,
1736674526056,1.0330501,1.3300501,9.17205,,,,,,,,,,,,,,,,,,
1736674526066,1.0350001,1.404,9.118951,,,,,,,,,,,,,,,,,,
1736674526076,1.0900501,1.4260501,9.121051,,,,,,,,,,,,,,,,,,
1736674526086,1.1209501,1.4260501,9.14295,,,,,,,,,,,,,,,,,,
1736674526096,1.0999501,1.4260501,9.141001,,,,,,,,,,,,,,,,,,
1736674526106,1.0849501,1.3990501,9.19095,,,,,,,,,,,,,,,,,,
1736674526117,1.107,1.3660501,9.196051,,,,,,,,,,,,,,,,,,
1736674526128,1.1190001,1.3249501,9.13605,,,,,,,,,,,,,,,,,,
1736674526137,1.11195,1.3060501,9.081,,,,,,,,,,,,,,,,,,
1736674526147,1.1020501,1.3110001,9.069,,,,,,,,,,,,,,,,,,
1736674526157,1.1550001,1.3230001,9.052051,,,,,,,,,,,,,,,,,,
1736674526167,1.1550001,1.26795,9.0379505,,,,,,,,,,,,,,,,,,
1736674526177,1.15005,1.2409501,8.986951,,,,,,,,,,,,,,,,,,
1736674526188,1.176,1.2529501,9.01605,,,,,,,,,,,,,,,,,,
1736674526198,1.19805,1.26795,9.05895,,,,,,,,,,,,,,,,,,
1736674526208,1.18605,1.2750001,9.078,,,,,,,,,,,,,,,,,,
1736674526218,1.1590501,1.26795,9.019051,,,,,,,,,,,,,,,,,,
1736674526227,1.131,1.2870001,8.96805,,,,,,,,,,,,,,,,,,
1736674526237,1.1329501,1.2870001,8.94705,,,,,,,,,,,,,,,,,,
1736674526247,1.1400001,1.299,8.920051,,,,,,,,,,,,,,,,,,
1736674526257,1.15005,1.31805,8.929951,,,,,,,,,,,,,,,,,,
1736674526268,1.1710501,1.31295,8.937,,,,,,,,,,,,,,,,,,
1736674526278,1.164,1.3230001,8.941951,,,,,,,,,,,,,,,,,,
1736674526287,1.18605,1.332,9.05895,,,,,,,,,,,,,,,,,,
1736674526297,1.21695,1.332,9.126,,,,,,,,,,,,,,,,,,
1736674526307,1.2859501,1.3590001,9.21195,,,,,,,,,,,,,,,,,,
1736674526317,1.26195,1.335,9.25605,,,,,,,,,,,,,,,,,,
1736674526328,1.18095,1.32,9.214951,,,,,,,,,,,,,,,,,,
1736674526338,1.0680001,1.2750001,9.14805,,,,,,,,,,,,,,,,,,
1736674526348,1.0009501,1.299,9.081,,,,,,,,,,,,,,,,,,
1736674526358,1.02795,1.335,9.076051,,,,,,,,,,,,,,,,,,
1736674526369,1.056,1.3230001,9.0709505,,,,,,,,,,,,,,,,,,
1736674526378,1.047,1.332,9.019051,,,,,,,,,,,,,,,,,,
1736674526389,1.0129501,1.3080001,8.932051,,,,,,,,,,,,,,,,,,
1736674526398,1.03995,1.3080001,8.83905,,,,,,,,,,,,,,,,,,
1736674526408,1.0999501,1.2750001,8.74995,,,,,,,,,,,,,,,,,,
1736674526418,1.1880001,1.2870001,8.740951,,,,,,,,,,,,,,,,,,
1736674526428,1.2550501,1.2940501,8.78895,,,,,,,,,,,,,,,,,,
1736674526438,1.2070501,1.28205,8.868,,,,,,,,,,,,,,,,,,
1736674526449,1.131,1.251,8.986951,,,,,,,,,,,,,,,,,,
1736674526459,1.1020501,1.26495,9.061951,,,,,,,,,,,,,,,,,,
1736674526469,1.07805,1.27695,9.073951,,,,,,,,,,,,,,,,,,
1736674526479,1.1040001,1.31595,9.094951,,,,,,,,,,,,,,,,,,
1736674526488,1.143,1.35105,9.114,,,,,,,,,,,,,,,,,,
1736674526498,1.1550001,1.3279501,9.14295,,,,,,,,,,,,,,,,,,
1736674526508,1.128,1.31805,9.1380005,,,,,,,,,,,,,,,,,,
1736674526518,1.11405,1.2889501,9.1380005,,,,,,,,,,,,,,,,,,
1736674526529,1.07295,1.28205,9.16695,,,,,,,,,,,,,,,,,,
1736674526539,1.10895,1.31595,9.196051,,,,,,,,,,,,,,,,,,
1736674526549,1.1910001,1.35405,9.174001,,,,,,,,,,,,,,,,,,
1736674526559,1.2049501,1.33905,9.196051,,,,,,,,,,,,,,,,,,
1736674526568,1.1689501,1.299,9.18105,,,,,,,,,,,,,,,,,,
1736674526580,1.1230501,1.30095,9.16905,,,,,,,,,,,,,,,,,,
1736674526589,1.0639501,1.27695,9.15705,,,,,,,,,,,,,,,,,,
1736674526599,1.0330501,1.299,9.1050005,,,,,,,,,,,,,,,,,,
1736674526610,1.06605,1.3279501,8.99505,,,,,,,,,,,,,,,,,,
1736674526620,1.1400001,1.383,8.83695,,,,,,,,,,,,,,,,,,
1736674526630,1.1520001,1.404,8.724,,,,,,,,,,,,,,,,,,
1736674526640,1.1230501,1.40205,8.66895,,,,,,,,,,,,,,,,,,
1736674526650,1.12605,1.3750501,8.667001,,,,,,,,,,,,,,,,,,
1736674526660,1.12605,1.371,8.7310505,,,,,,,,,,,,,,,,,,
1736674526669,1.12605,1.3920001,8.82495,,,,,,,,,,,,,,,,,,
1736674526679,1.128,1.42305,8.940001,,,,,,,,,,,,,,,,,,
1736674526689,1.12605,1.41795,8.962951,,,,,,,,,,,,,,,,,,
1736674526699,1.11195,1.3950001,8.95905,,,,,,,,,,,,,,,,,,
1736674526709,1.1520001,1.3800001,8.98005,,,,,,,,,,,,,,,,,,
1736674526719,1.2,1.416,9.009001,,,,,,,,,,,,,,,,,,
1736674526729,1.2030001,1.40205,9.0400505,,,,,,,,,,,,,,,,,,
1736674526739,1.14705,1.3470001,9.09795,,,,,,,,,,,,,,,,,,
