timestamp,nowSSID,nowBSSID,nowlevel,SSID,BSSID,level,deviceName,deviceAddress,rssi,BLEdeviceName,BLEdeviceAddress,BLErssi,cellinfo
1736674525702,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674526704,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674525763,,,,,,,,,,,,,
1736674526724,,,,,,,,,,,,,
1736674527711,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674528719,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674529729,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674527579,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-74,,,,
1736674527562,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-74,
1736674527751,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-63,
1736674528282,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-72,
1736674527762,,,,,,,,,,,,,
1736674528736,,,,,,,,,,,,,
1736674529803,,,,,,,,,,,,,
1736674530733,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674531746,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674532751,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674530713,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-77,,,,
1736674530702,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-77,
1736674530799,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-66,
1736674532043,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-71,
1736674533213,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-78,
1736674530772,,,,,,,,,,,,,
1736674531821,,,,,,,,,,,,,
1736674532787,,,,,,,,,,,,,
1736674533764,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674534768,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674535776,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674533752,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-68,
1736674534485,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-86,
1736674535124,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-74,
1736674535320,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-83,
1736674536201,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-84,
1736674533834,,,,,,,,,,,,,
1736674534810,,,,,,,,,,,,,
1736674535849,,,,,,,,,,,,,
1736674536780,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674537798,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674538806,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674539138,,,,,,,"U-EWH26DE",04:E2:29:0F:26:DF,-92,,,,
1736674539173,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-96,,,,
1736674537442,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-75,
1736674538076,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-80,
1736674538776,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-82,
1736674538880,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-80,
1736674539120,,,,,,,,,,"U-EWH26DE",04:E2:29:0F:26:DF,-92,
1736674539163,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-96,
1736674536815,,,,,,,,,,,,,
1736674537858,,,,,,,,,,,,,
1736674538836,,,,,,,,,,,,,
1736674539812,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674540820,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674541823,<unknown ssid>,00:00:00:00:00:00,-127,,,,,,,,,,
1736674540483,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-76,,,,
1736674541079,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-96,,,,
1736674541354,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-89,,,,
1736674540479,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-76,
1736674540994,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-80,
1736674541064,,,,,,,,,,"U-EWH6FEA",18:A7:F1:5D:6F:EB,-96,
1736674541350,,,,,,,,,,"U-EWHBFBE",04:E2:29:06:BF:BF,-89,
1736674542134,,,,,,,,,,"TK_2352201213",E0:4E:7A:02:D6:6E,-88,
